Artist;Grouping;Genre
Flight Of The Conchords;Comedy;Comedy: Music [Folk]
Garfunkel And Oates;Comedy;Comedy: Music [Folk]
Kevin Bloody Wilson;Comedy;Comedy: Music [Folk]
Beatallica;Comedy;Comedy: Music [Heavy Metal]
Jim Brewer;Comedy;Comedy: Music [Heavy Metal]
Aqua;Comedy;Comedy: Music [Parody]
Hillman Morning Show;Comedy;Comedy: Music [Parody]
Johnny Crass;Comedy;Comedy: Music [Parody]
Peter Paul & Mary - All Credit;Comedy;Comedy: Music [Parody]
S.T.G.;Comedy;Comedy: Music [Parody]
Schmetallica;Comedy;Comedy: Music [Parody]
David A. Scott;Comedy;Comedy: Music [Pop]
Julie Brown;Comedy;Comedy: Music [Pop]
William Hung;Comedy;Comedy: Music [Pop]
Nice Peter;Comedy;Comedy: Music [Rap]
Scott Thompson;Comedy;Comedy: Music [Rap]
Sidecar;Comedy;Comedy: Music [Rap]
Wehrmacht;Comedy;Comedy: Music [Rap]
The Vestibules;Comedy;Comedy: Music [Rock]
Songify This;Comedy;Comedy: Music [Songify]
Coach Z;Comedy;Comedy: Songs [WebSeries]
Limozeen;Comedy;Comedy: Songs [WebSeries]
Marzipan;Comedy;Comedy: Songs [WebSeries]
Strong Bad;Comedy;Comedy: Songs [WebSeries]
Taranchula;Comedy;Comedy: Songs [WebSeries]
The Kinda Long Haired Band;Comedy;Comedy: Songs [WebSeries]
What's Her Face;Comedy;Comedy: Songs [WebSeries]
Aqua Tean Hunger Force;Comedy;Comedy: TV Show [Cartoon]
Aqua Teen Hunger Force;Comedy;Comedy: TV Show [Cartoon]
ATHF;Comedy;Comedy: TV Show [Cartoon]
Family Guy;Comedy;Comedy: TV Show [Cartoon]
Kanye West;Comedy;Comedy: TV Show [Cartoon]
Ren & Stimpy;Comedy;Comedy: TV Show [Cartoon]
Robot Chicken;Comedy;Comedy: TV Show [Cartoon]
Space Ghost;Comedy;Comedy: TV Show [Cartoon]
SpongeBob And Plankton;Comedy;Comedy: TV Show [Cartoon]
SpongeBob SquarePants;Comedy;Comedy: TV Show [Cartoon]
Stewie Griffin;Comedy;Comedy: TV Show [Cartoon]
The Simpsons;Comedy;Comedy: TV Show [Cartoon]
Trey Parker;Comedy;Comedy: TV Show [Cartoon]
Don Henley;Comedy;Comedy: TV Show [Live Action]
George Benson;Comedy;Comedy: TV Show [Live Action]
Jimmy Buffett;Comedy;Comedy: TV Show [Live Action]
Kermit The Frog;Comedy;Comedy: TV Show [Live Action]
Linda Ronstadt;Comedy;Comedy: TV Show [Live Action]
The Crypt Keeper;Comedy;Comedy: TV Show [Live Action]
The Muppets;Comedy;Comedy: TV Show [Live Action]
Vince Gill;Comedy;Comedy: TV Show [Live Action]
Aaron Lewis;Country;Alternative Country
Blackhawk;Country;Alternative Country
Dixie Chicks;Country;Alternative Country
The Nitty Gritty Dirt Band;Country;Bluegrass
The Skillet Lickers;Country;Bluegrass
The Soggy Bottom Boys;Country;Bluegrass
Barry Sadler;Country;Classic Country
C.W. McCall;Country;Classic Country
Charles Manson;Country;Classic Country
Clint Black;Country;Classic Country
David Allan Coe;Country;Classic Country
Dolly Parton;Country;Classic Country
Earl Thomas Conley;Country;Classic Country
Garry Lee & Showdown;Country;Classic Country
George Strait;Country;Classic Country
Jimmy Dean;Country;Classic Country
John Michael Montgomery;Country;Classic Country
Johnny Cash;Country;Classic Country
Kenny Rogers;Country;Classic Country
Reba McEntire;Country;Classic Country
Rosanne Cash;Country;Classic Country
Tennessee Ernie Ford;Country;Classic Country
The Charlie Daniels Band;Country;Classic Country
The Highwaymen;Country;Classic Country
Waylon Jennings;Country;Classic Country
Gary Allan;Country;Contemporary Country
Paul Overstreet;Country;Contemporary Country
Toby Keith;Country;Contemporary Country
The String Cheese Incident;Country;Country: Bluegrass
Aaron Tippin;Country;Modern Country
Alan Jackson;Country;Modern Country
Anita Cochran;Country;Modern Country
Brad Paisley;Country;Modern Country
Brooks & Dunn;Country;Modern Country
Chely Wright;Country;Modern Country
Chris LeDoux;Country;Modern Country
Collin Raye;Country;Modern Country
Darius Rucker;Country;Modern Country
David Kersh;Country;Modern Country
Faith Hill;Country;Modern Country
Garth Brooks;Country;Modern Country
Jo Dee Messina;Country;Modern Country
LeAnn Rimes;Country;Modern Country
Lee Ann Womack;Country;Modern Country
Little Texas;Country;Modern Country
Lonestar;Country;Modern Country
Mark Chesnutt;Country;Modern Country
Mark Wills;Country;Modern Country
Sammy Kershaw;Country;Modern Country
Shania Twain;Country;Modern Country
SHeDAISY;Country;Modern Country
Tim McGraw;Country;Modern Country
Johnny Rebel;Country;Rockabilly
Mike Ness;Country;Rockabilly
Alabama;Country;Southern Country
Haddaway;Dance;Eurodance
La Bouche;Dance;Eurodance
Bobby Reeves;Hip-Hop/R&B;Hip-Hop
Busta Rhymes;Hip-Hop/R&B;Hip-Hop
Edsel Dope;Hip-Hop/R&B;Hip-Hop
Erik Rogers;Hip-Hop/R&B;Hip-Hop
George Clinton;Hip-Hop/R&B;Hip-Hop
Gisa Vatcky;Hip-Hop/R&B;Hip-Hop
Ice-T;Hip-Hop/R&B;Hip-Hop
Jason Miller;Hip-Hop/R&B;Hip-Hop
Joe Lesté;Hip-Hop/R&B;Hip-Hop
Puff Daddy;Hip-Hop/R&B;Hip-Hop
Ray Orpeza;Hip-Hop/R&B;Hip-Hop
Robbi Robb;Hip-Hop/R&B;Hip-Hop
Adele;Hip-Hop/R&B;R&B
Brandy;Hip-Hop/R&B;R&B
Brian McKnight;Hip-Hop/R&B;R&B
C+C Music Factory;Hip-Hop/R&B;R&B
David Guetta;Hip-Hop/R&B;R&B
En Vogue;Hip-Hop/R&B;R&B
Fugees;Hip-Hop/R&B;R&B
Janet Jackson;Hip-Hop/R&B;R&B
Rihanna;Hip-Hop/R&B;R&B
Seal;Hip-Hop/R&B;R&B
The Temptations;Hip-Hop/R&B;R&B
The Tony Rich Project;Hip-Hop/R&B;R&B
TLC;Hip-Hop/R&B;R&B
Toni Braxton;Hip-Hop/R&B;R&B
2Pac;Hip-Hop/R&B;Rap
50 Cent;Hip-Hop/R&B;Rap
Afroman;Hip-Hop/R&B;Rap
Atmosphere;Hip-Hop/R&B;Rap
Benzino;Hip-Hop/R&B;Rap
Blackstreet;Hip-Hop/R&B;Rap
Bone Thugs-N-Harmony;Hip-Hop/R&B;Rap
Canibus;Hip-Hop/R&B;Rap
Coolio;Hip-Hop/R&B;Rap
D12;Hip-Hop/R&B;Rap
DMX;Hip-Hop/R&B;Rap
Dr. Dre;Hip-Hop/R&B;Rap
Eazy-E;Hip-Hop/R&B;Rap
Emily Ellis;Hip-Hop/R&B;Rap
Eminem;Hip-Hop/R&B;Rap
Eminem ;Hip-Hop/R&B;Rap
Everlast;Hip-Hop/R&B;Rap
Game;Hip-Hop/R&B;Rap
House Of Pain;Hip-Hop/R&B;Rap
Ice Cube;Hip-Hop/R&B;Rap
Iggy Azalea;Hip-Hop/R&B;Rap
Ill Bill;Hip-Hop/R&B;Rap
Insane Clown Posse;Hip-Hop/R&B;Rap
Ja Rule;Hip-Hop/R&B;Rap
JAY Z;Hip-Hop/R&B;Rap
Jermaine Dupri;Hip-Hop/R&B;Rap
Kevin Rudolf;Hip-Hop/R&B;Rap
Kottonmouth Kings;Hip-Hop/R&B;Rap
Kris Kross;Hip-Hop/R&B;Rap
Lil Romeo, Nick Cannon & 3LW;Hip-Hop/R&B;Rap
Lil Wayne;Hip-Hop/R&B;Rap
Lil' Troy;Hip-Hop/R&B;Rap
LL Cool J;Hip-Hop/R&B;Rap
Lordz Of Brooklyn;Hip-Hop/R&B;Rap
Luniz;Hip-Hop/R&B;Rap
Makaveli;Hip-Hop/R&B;Rap
MC Hammer;Hip-Hop/R&B;Rap
N.W.A;Hip-Hop/R&B;Rap
OutKast;Hip-Hop/R&B;Rap
Run-D.M.C.;Hip-Hop/R&B;Rap
Sagat;Hip-Hop/R&B;Rap
Salt-N-Pepa;Hip-Hop/R&B;Rap
Shaggy;Hip-Hop/R&B;Rap
Sir Mix-A-Lot;Hip-Hop/R&B;Rap
Snoop Dogg;Hip-Hop/R&B;Rap
Snow;Hip-Hop/R&B;Rap
Street;Hip-Hop/R&B;Rap
Tag Team;Hip-Hop/R&B;Rap
The 2 Live Crew;Hip-Hop/R&B;Rap
Tone-Lōc;Hip-Hop/R&B;Rap
