Gulliver's Travels [2010];Adventure/
Das Wirtshaus der sündigen Töchter [1978];Comedy/Sex Comedies/
Dear Caroline [1951];Comedy/Sex Comedies/
Deathstalker II [1987];Comedy/Sex Comedies/
Der Bettenstudent oder Was mach' ich mit den Mädchen? [1970];Comedy/Sex Comedies/
Der Mann mit dem goldenen Pinsel [1969];Comedy/Sex Comedies/
Der neue heiße Sex-Report - Was Männer nicht für möglich halten [1971];Comedy/Sex Comedies/
Deux femmes en or [1970];Comedy/Sex Comedies/
Die dressierte Frau [1972];Comedy/Sex Comedies/
Die goldene Banane von Bad Porno [1971];Comedy/Sex Comedies/
Die Jungfrauen von Bumshausen [1970];Comedy/Sex Comedies/
Die Liebesquelle [1966];Comedy/Sex Comedies/
Die liebestollen Apothekerstöchter [1972];Comedy/Sex Comedies/
Die Mädchen aus der Peep Show [1983];Comedy/Sex Comedies/
Die Nacht der lebenden Loser [2004];Comedy/Sex Comedies/
Dirty Deeds [2005];Comedy/Sex Comedies/
Dirty Grandpa [2016];Comedy/Sex Comedies/
Doctor Detroit [1983];Comedy/Sex Comedies/
Don Jon [2013];Comedy/Sex Comedies/
Downtown - Die nackten Puppen der Unterwelt [1975];Comedy/Sex Comedies/
Downtown [1975];Comedy/Sex Comedies/
Dr. Alien [1989];Comedy/Sex Comedies/
Drillbit Taylor [2008];Comedy/Sex Comedies/
Dude, Where's My Car? [2000];Comedy/Sex Comedies/
Early Awakening Report [1973];Comedy/Sex Comedies/
Ecchi o nerae!: Inuneko. [2009];Comedy/Sex Comedies/
Ein echter Hausfrauenfreund [1975];Comedy/Sex Comedies/
Ellie [1984];Comedy/Sex Comedies/
Et la tendresse?... Bordel! [1979];Comedy/Sex Comedies/
Êtes-vous fiancée à un marin grec ou à un pilote de ligne? [1971];Comedy/Sex Comedies/
EuroTrip [2004];Comedy/Sex Comedies/
Fairy Tales [1978];Comedy/Sex Comedies/
Fast Times at Ridgemont High [1982];Comedy/Sex Comedies/
Fatso [2008];Comedy/Sex Comedies/
Fireballs [1989];Comedy/Sex Comedies/
Fired Up! [2009];Comedy/Sex Comedies/
Firehouse [1987];Comedy/Sex Comedies/
Fleur d'oseille [1967];Comedy/Sex Comedies/
Flogging Margaret [2006];Comedy/Sex Comedies/
Forgetting Sarah Marshall [2008];Comedy/Sex Comedies/
Frat Party [2009];Comedy/Sex Comedies/
Fraternity Vacation [1985];Comedy/Sex Comedies/
Frau Wirtin bläst auch gern Trompete [1970];Comedy/Sex Comedies/
Frau Wirtin hat auch einen Grafen [1968];Comedy/Sex Comedies/
Friends with Benefits [2011];Comedy/Sex Comedies/
Frühreifen-Report [1973];Comedy/Sex Comedies/
Gefährlicher Sex frühreifer Mädchen [1972];Comedy/Sex Comedies/
Gestatten... Vögelein im Dienst [1971];Comedy/Sex Comedies/
Gettin' In [2012];Comedy/Sex Comedies/
Getting It On [1983];Comedy/Sex Comedies/
Getting Lucky [1990];Comedy/Sex Comedies/
Getting Off [1971];Comedy/Sex Comedies/
Gimme an 'F' [1984];Comedy/Sex Comedies/
Goin' All the Way [1982];Comedy/Sex Comedies/
Going Places [1974];Comedy/Sex Comedies/
Going Steady [1979];Comedy/Sex Comedies/
Golden Boy [1995];Comedy/Sex Comedies/
Golden Boy: Sasurai no o-benkyô yarô [1995];Comedy/Sex Comedies/
Good Luck Chuck [2007];Comedy/Sex Comedies/
Graf Porno bläst zum Zapfenstreich [1970];Comedy/Sex Comedies/
Graf Porno und seine Mädchen [1969];Comedy/Sex Comedies/
Group Sex [2010];Comedy/Sex Comedies/
H.O.T.S. [1979];Comedy/Sex Comedies/
Hamburger: The Motion Picture [1986];Comedy/Sex Comedies/
Hardbodies [1984];Comedy/Sex Comedies/
Hardbodies 2 [1986];Comedy/Sex Comedies/
Harenchi gakuen: shintai kensa no maki [1970];Comedy/Sex Comedies/
Harimu Ogen [1985];Comedy/Sex Comedies/
Harlis [1972];Comedy/Sex Comedies/
Harold & Kumar Escape from Guantanamo Bay [2008];Comedy/Sex Comedies/
Harold & Kumar Go to White Castle [2004];Comedy/Sex Comedies/
Harte Jungs [2000];Comedy/Sex Comedies/
Has Anybody Seen My Pants? [1977];Comedy/Sex Comedies/
Hausfrauen-Report 6: Warum gehen Frauen fremd? [1978];Comedy/Sex Comedies/
Higher Education [1988];Comedy/Sex Comedies/
Hjelp, vi er russ [2011];Comedy/Sex Comedies/
Hollywood Hot Tubs [1984];Comedy/Sex Comedies/
Home of Phobia [2004];Comedy/Sex Comedies/
Homework [1982];Comedy/Sex Comedies/
Honolulu [2001];Comedy/Sex Comedies/
Hot Bubblegum [1981];Comedy/Sex Comedies/
Hot Chili [1985];Comedy/Sex Comedies/
Hot Dog... The Movie [1984];Comedy/Sex Comedies/
Hot Dogs on Ibiza [1979];Comedy/Sex Comedies/
Hot Moves [1984];Comedy/Sex Comedies/
Hot Resort [1985];Comedy/Sex Comedies/
Hot T-Shirts [1980];Comedy/Sex Comedies/
Hot Tub Time Machine [2010];Comedy/Sex Comedies/
Hurra... die deutsche Sex-Partei [1974];Comedy/Sex Comedies/
I Love You, Beth Cooper [2009];Comedy/Sex Comedies/
I Want Candy [2007];Comedy/Sex Comedies/
Ibitsu [2013];Comedy/Sex Comedies/
Il Merlo maschio [1974];Comedy/Sex Comedies/
Il viaggio di Capitan Fracassa [1990];Comedy/Sex Comedies/
Il vizio di famiglia [1975];Comedy/Sex Comedies/
It's Getting Harder All the Time [1976];Comedy/Sex Comedies/
Jagdrevier der scharfen Gemsen [1977];Comedy/Sex Comedies/
Jekyll and Hyde... Together Again [1982];Comedy/Sex Comedies/
Jocks [1986];Comedy/Sex Comedies/
Jokes My Folks Never Told Me [1978];Comedy/Sex Comedies/
Jorden runt med Fanny Hill [1974];Comedy/Sex Comedies/
Josefine Mutzenbacher [1970];Comedy/Sex Comedies/
Joyeuses Pâques [1984];Comedy/Sex Comedies/
Joysticks [1983];Comedy/Sex Comedies/
Just One of the Guys [1985];Comedy/Sex Comedies/
Kekkô Kamen [2004];Comedy/Sex Comedies/
Kids in America [2005];Comedy/Sex Comedies/
Kiss Me Monster [1969];Comedy/Sex Comedies/
Kisses and Caroms [2006];Comedy/Sex Comedies/
Knallharte Jungs [2002];Comedy/Sex Comedies/
Knocked Up [2007];Comedy/Sex Comedies/
Komm nach Wien, ich zeig dir was! [1970];Comedy/Sex Comedies/
Komm nur, mein liebstes Vögelein [1968];Comedy/Sex Comedies/
Küss mich, Monster [1969];Comedy/Sex Comedies/
Kyôkasho ni nai! [2016];Comedy/Sex Comedies/
Kyôkasho ni nai! 2 [2016];Comedy/Sex Comedies/
L'Heptaméron (Joyeux compères) [1973];Comedy/Sex Comedies/
L'homme qui aimait les femmes [1977];Comedy/Sex Comedies/
La Bride sur le cou [1961];Comedy/Sex Comedies/
La cugina [1974];Comedy/Sex Comedies/
La femme aux bottes rouges [1974];Comedy/Sex Comedies/
La seconda moglie [1998];Comedy/Sex Comedies/
La vie dissolue de Gérard Floque [1987];Comedy/Sex Comedies/
Laß laufen, Kumpel [1981];Comedy/Sex Comedies/
Last Resort [1986];Comedy/Sex Comedies/
Le bal des voyous [1968];Comedy/Sex Comedies/
Le nom des gens [2010];Comedy/Sex Comedies/
Le roi des cons [1981];Comedy/Sex Comedies/
Leidenschaftliche Blümchen [1978];Comedy/Sex Comedies/
Lemon Popsicle 6 [1985];Comedy/Sex Comedies/
Lemon Popsicle III 1981];Comedy/Sex Comedies/
Lemon Popsicle IV [1983];Comedy/Sex Comedies/
Lemon Popsicle V [1984];Comedy/Sex Comedies/
Lemon Popsicle VII [1987];Comedy/Sex Comedies/
Les galettes de Pont-Aven [1975];Comedy/Sex Comedies/
Les nanas [1985];Comedy/Sex Comedies/
Les petites saintes y touchent [1974];Comedy/Sex Comedies/
Les phallocrates [1980];Comedy/Sex Comedies/
Les poupées russes [2005];Comedy/Sex Comedies/
Les valseuses [1974];Comedy/Sex Comedies/
Let It All Hang Out [1969];Comedy/Sex Comedies/
Let's Do It! [1982];Comedy/Sex Comedies/
Liebe durch die Hintertür [1969];Comedy/Sex Comedies/
Liebe in drei Dimensionen [1973];Comedy/Sex Comedies/
Liebe unter siebzehn [1971];Comedy/Sex Comedies/
Liebesgrüße aus der Lederhose 7 - Kokosnüsse und Bananen [1992];Comedy/Sex Comedies/
Liebesjagd durch 7 Betten [1973];Comedy/Sex Comedies/
Liebesmarkt [1973];Comedy/Sex Comedies/
Liebesspiele junger Mädchen [1972];Comedy/Sex Comedies/
Lingerie Senshi Papillon Rose [2003];Comedy/Sex Comedies/
Long Live Women! [1984];Comedy/Sex Comedies/
Loose Screws [1985];Comedy/Sex Comedies/
Losin' It [1983];Comedy/Sex Comedies/
Love and Other Drugs [2010];Comedy/Sex Comedies/
Love in 3-D [1973];Comedy/Sex Comedies/
Love Spaghetti Love [1981];Comedy/Sex Comedies/
Lovelines [1984];Comedy/Sex Comedies/
Loving and Laughing [1971];Comedy/Sex Comedies/
Lunch Wagon [1981];Comedy/Sex Comedies/
Mädchen, die sich selbst bedienen [1974];Comedy/Sex Comedies/
Making the Grade [1984];Comedy/Sex Comedies/
Malèna [2000];Comedy/Sex Comedies/
Malibu Express [1985];Comedy/Sex Comedies/
Malibu Hot Summer [1981];Comedy/Sex Comedies/
Malicious [1973];Comedy/Sex Comedies/
Malizia [1973];Comedy/Sex Comedies/
Marche pas sur mes lacets [1977];Comedy/Sex Comedies/
Mardi Gras: Spring Break [2011];Comedy/Sex Comedies/
Maschi contro femmine [2010];Comedy/Sex Comedies/
Matratzen-Tango [1975];Comedy/Sex Comedies/
Melvin, Son of Alvin [1984];Comedy/Sex Comedies/
Men Vs Women [2010];Comedy/Sex Comedies/
Mieux vaut être riche et bien portant que fauché et mal foutu [1980];Comedy/Sex Comedies/
Milf [2010];Comedy/Sex Comedies/
Minna agechau [1985];Comedy/Sex Comedies/
Miracle Beach [1992];Comedy/Sex Comedies/
Mischief [1985];Comedy/Sex Comedies/
Miss March [2009];Comedy/Sex Comedies/
More Ants in the Pants [2002];Comedy/Sex Comedies/
My Boss's Daughter [2003];Comedy/Sex Comedies/
My Chauffeur [1986];Comedy/Sex Comedies/
My Teacher's Wife [1999];Comedy/Sex Comedies/
My Tutor [1983];Comedy/Sex Comedies/
Nackt [2002];Comedy/Sex Comedies/
Naked [2002];Comedy/Sex Comedies/
Naughty Girls on the Loose [1976];Comedy/Sex Comedies/
Naughty Nymphs [1972];Comedy/Sex Comedies/
Naughty Wives [1974];Comedy/Sex Comedies/
Neighbors [2014];Comedy/Sex Comedies/
Neighbors 2: Sorority Rising [2016];Comedy/Sex Comedies/
Nick and Norah's Infinite Playlist [2008];Comedy/Sex Comedies/
Night of the Living Dorks [2004];Comedy/Sex Comedies/
Night Patrol [1984];Comedy/Sex Comedies/
Night Shift [1982];Comedy/Sex Comedies/
No Sex Please: We're British [1973];Comedy/Sex Comedies/
No Strings Attached [2011];Comedy/Sex Comedies/
Nobody's Perfect [1990];Comedy/Sex Comedies/
Not in Textbooks [2016];Comedy/Sex Comedies/
Not in Textbooks 2 [2016];Comedy/Sex Comedies/
Not of This Earth [1988];Comedy/Sex Comedies/
Not Tonight Henry [1960];Comedy/Sex Comedies/
Notte d'estate con profilo greco, occhi a mandorla e odore di basilico [1986];Comedy/Sex Comedies/
Notte prima degli esami - Oggi [2007];Comedy/Sex Comedies/
Nozoki Ana [2014];Comedy/Sex Comedies/
Off the Mark [1987];Comedy/Sex Comedies/
Oh! Invisible Man [2010];Comedy/Sex Comedies/
Oh! Toumei ningen [2010];Comedy/Sex Comedies/
Oira sukeban [2006];Comedy/Sex Comedies/
Oktoberfest! Da kann man fest... [1974];Comedy/Sex Comedies/
Old School [2003];Comedy/Sex Comedies/
On est venu là pour s'éclater [1979];Comedy/Sex Comedies/
One Night Only [1986];Comedy/Sex Comedies/
Onna no ana [2014];Comedy/Sex Comedies/
Oppai barê [2009];Comedy/Sex Comedies/
Oppai Volleyball [2009];Comedy/Sex Comedies/
Orange County [2002];Comedy/Sex Comedies/
Pantsu no ana [1984];Comedy/Sex Comedies/
Pantsu no ana the movie: Doutei soushitsu rapusodi [2011];Comedy/Sex Comedies/
Pantsu no ana: mukesode mukenai ichiqe tachi [1990];Comedy/Sex Comedies/
Paradise [1982];Comedy/Sex Comedies/
Paradise Motel [1985];Comedy/Sex Comedies/
Party Camp [1987];Comedy/Sex Comedies/
PCU [1994];Comedy/Sex Comedies/
People's Names [2010];Comedy/Sex Comedies/
Perfect [1985];Comedy/Sex Comedies/
Perfect Timing [1986];Comedy/Sex Comedies/
Pick-up Summer [1980];Comedy/Sex Comedies/
Pigs [2007];Comedy/Sex Comedies/
Pin-up Playmates [1972];Comedy/Sex Comedies/
Pinball Summer [1980];Comedy/Sex Comedies/
Please, Not Now! [1961];Comedy/Sex Comedies/
Popcorn und Himbeereis [1978];Comedy/Sex Comedies/
Porky's [1982];Comedy/Sex Comedies/
Porky's II: The Next Day [1983];Comedy/Sex Comedies/
Porky's Revenge [1985];Comedy/Sex Comedies/
Preppy School Girls [1978];Comedy/Sex Comedies/
Pretty Smart [1987];Comedy/Sex Comedies/
Private Lessons [1981];Comedy/Sex Comedies/
Private Popsicle [1983];Comedy/Sex Comedies/
Private Resort [1985];Comedy/Sex Comedies/
Private School [1983];Comedy/Sex Comedies/
Private School Girls [1972];Comedy/Sex Comedies/
Project X [2012];Comedy/Sex Comedies/
Pudelnackt in Oberbayern [1969];Comedy/Sex Comedies/
Recruits [1986];Comedy/Sex Comedies/
Reform School Girls [1986];Comedy/Sex Comedies/
Revenge of the Nerds [1984];Comedy/Sex Comedies/
Risky Business [1983];Comedy/Sex Comedies/
Road Trip [2000];Comedy/Sex Comedies/
Road Trip: Beer Pong [2009];Comedy/Sex Comedies/
Role Models [2008];Comedy/Sex Comedies/
Roman Za'ir [1984];Comedy/Sex Comedies/
Rote Lippen, Sadisterotica [1969];Comedy/Sex Comedies/
Run, Virgin, Run [1970];Comedy/Sex Comedies/
Sadist Erotica [1969];Comedy/Sex Comedies/
Saikin, imôto no yôsu ga chotto okashii n da ga. [2014];Comedy/Sex Comedies/
Sally - heiß wie ein Vulkan [1973];Comedy/Sex Comedies/
Salut les frangines [1975];Comedy/Sex Comedies/
Sängkamrater [1974];Comedy/Sex Comedies/
Sapiches [1983];Comedy/Sex Comedies/
Sayaka: The Cute & Careless Girl [2009];Comedy/Sex Comedies/
Scharf aufs Leben [2000];Comedy/Sex Comedies/
Schloß Gripsholm [1963];Comedy/Sex Comedies/
School for Sex [1969];Comedy/Sex Comedies/
School Spirit [1985];Comedy/Sex Comedies/
Schulmädchen-Report 7: Doch das Herz muß dabei sein [1974];Comedy/Sex Comedies/
Screwballs [1983];Comedy/Sex Comedies/
Screwballs II [1985];Comedy/Sex Comedies/
Second Time Lucky [1984];Comedy/Sex Comedies/
Secret Admirer [1985];Comedy/Sex Comedies/
Secretary [2002];Comedy/Sex Comedies/
Secrets of a Door-to-Door Salesman [1974];Comedy/Sex Comedies/
Secrets of a Superstud [1976];Comedy/Sex Comedies/
Secrets of Naked Girls [1975];Comedy/Sex Comedies/
Secrets of Sweet Sixteen [1973];Comedy/Sex Comedies/
Seifuku taiken torio: watashi uregoro [1981];Comedy/Sex Comedies/
Self Service Girl [1974];Comedy/Sex Comedies/
Semmel, Wurst und Birkenwasser - Die liebestollen Handwerker [1972];Comedy/Sex Comedies/
Senior Skip Day [2008];Comedy/Sex Comedies/
Senior Week [1987];Comedy/Sex Comedies/
Sensational Janine [1970];Comedy/Sex Comedies/
Serial [1980];Comedy/Sex Comedies/
Serre-moi contre toi, j'ai besoin de caresses [1974];Comedy/Sex Comedies/
Sex Drive [2008];Comedy/Sex Comedies/
She's Out of My League [2010];Comedy/Sex Comedies/
Sheena [1984];Comedy/Sex Comedies/
Shifshuf Naim [1981];Comedy/Sex Comedies/
Si ma gueule vous plaît... [1981];Comedy/Sex Comedies/
Sixteen Candles [1984];Comedy/Sex Comedies/
Sizzle Beach, U.S.A. [1981];Comedy/Sex Comedies/
Sleeping with Other People [2015];Comedy/Sex Comedies/
Slippery Slope [2006];Comedy/Sex Comedies/
Slumber Party '57 [1976];Comedy/Sex Comedies/
Snap [1981];Comedy/Sex Comedies/
Snowballing [1984];Comedy/Sex Comedies/
So Fine [1981];Comedy/Sex Comedies/
Some Like It Cool [1977];Comedy/Sex Comedies/
Sommersturm [2004];Comedy/Sex Comedies/
Sorrel Flower [1967];Comedy/Sex Comedies/
Spaghetti a mezzanotte [1981];Comedy/Sex Comedies/
Splitz [1982];Comedy/Sex Comedies/
Spread [2009];Comedy/Sex Comedies/
Spring Break [1983];Comedy/Sex Comedies/
Spun [2002];Comedy/Sex Comedies/
Squeeze Play [1979];Comedy/Sex Comedies/
State Park [1988];Comedy/Sex Comedies/
Stewardess School [1986];Comedy/Sex Comedies/
Stitches [1985];Comedy/Sex Comedies/
Strictly Sexual [2008];Comedy/Sex Comedies/
Stripes [1981];Comedy/Sex Comedies/
Stripper Academy [2007];Comedy/Sex Comedies/
Stuck on You! [1982];Comedy/Sex Comedies/
Sukeban Boy [2006];Comedy/Sex Comedies/
Sukimasuki [2015];Comedy/Sex Comedies/
Summer Camp [1978];Comedy/Sex Comedies/
Summer Night with Greek Profile, Almond Eyes and Scent of Basil [1986];Comedy/Sex Comedies/
Summer Storm [2004];Comedy/Sex Comedies/
Sundome [2007];Comedy/Sex Comedies/
Sundome 2 [2008];Comedy/Sex Comedies/
Superbad [2007];Comedy/Sex Comedies/
Surf II: The End of the Trilogy [1984];Comedy/Sex Comedies/
Surf School [2006];Comedy/Sex Comedies/
Susanne, die Wirtin von der Lahn [1967];Comedy/Sex Comedies/
Sweater Girls [1978];Comedy/Sex Comedies/
Swedish Massage Parlour [1972];Comedy/Sex Comedies/
Swingers [1996];Comedy/Sex Comedies/
Swingin' Swappers [1973];Comedy/Sex Comedies/
Take Me Home Tonight [2011];Comedy/Sex Comedies/
Teach Me [1972];Comedy/Sex Comedies/
Ted [2012];Comedy/Sex Comedies/
Teenage Playmates [1974];Comedy/Sex Comedies/
Tempting Roommates [1974];Comedy/Sex Comedies/
Ten Inch Hero [2007];Comedy/Sex Comedies/
Tennen kajû Sayaka [2009];Comedy/Sex Comedies/
The 40-Year-Old Virgin [2005];Comedy/Sex Comedies/
The Amorous Mis-Adventures of Casanova [1977];Comedy/Sex Comedies/
The Beach Girls [1982];Comedy/Sex Comedies/
The Best House in London [1969];Comedy/Sex Comedies/
The Big Bet [1985];Comedy/Sex Comedies/
The Boss' Wife [1986];Comedy/Sex Comedies/
The Cousin [1974];Comedy/Sex Comedies/
The Debauched Life of Gérard Floque [1987];Comedy/Sex Comedies/
The Dirtiest Girl I Ever Met [1970];Comedy/Sex Comedies/
The Erotic Adventures of Heidi [1974];Comedy/Sex Comedies/
The First Turn-On!! [1983];Comedy/Sex Comedies/
The Further Adventures of Tennessee Buck [1988];Comedy/Sex Comedies/
The Games Schoolgirls Play [1972];Comedy/Sex Comedies/
The Girl Next Door [2004];Comedy/Sex Comedies/
The Graduate [1967];Comedy/Sex Comedies/
The Great American Girl Robbery [1979];Comedy/Sex Comedies/
The Hangover [2009];Comedy/Sex Comedies/
The Hangover Part II [2011];Comedy/Sex Comedies/
The Hangover Part III [2013];Comedy/Sex Comedies/
The Hollywood Knights [1980];Comedy/Sex Comedies/
The Hostess Also Likes to Blow the Horn [1970];Comedy/Sex Comedies/
The Hot Chick [2002];Comedy/Sex Comedies/
The Inbetweeners Movie [2011];Comedy/Sex Comedies/
The Last American Virgin [1982];Comedy/Sex Comedies/
The Little Death [2014];Comedy/Sex Comedies/
The Lost Empire [1984];Comedy/Sex Comedies/
The Malibu Bikini Shop [1986];Comedy/Sex Comedies/
The Man Who Had Power Over Women [1970];Comedy/Sex Comedies/
The Man Who Loved Women [1977];Comedy/Sex Comedies/
The Naked Cello [1974];Comedy/Sex Comedies/
The Names of Love [2010][;Comedy/Sex Comedies/
The New Guy [2002];Comedy/Sex Comedies/
The New Hot Report: What Men Don't Think Is Possible [1971];Comedy/Sex Comedies/
The Nine Ages of Nakedness [1970];Comedy/Sex Comedies/
The Party Animal [1985];Comedy/Sex Comedies/
The Perils of Gwendoline in the Land of the Yik Yak [1984];Comedy/Sex Comedies/
The Pool Boys [2009];Comedy/Sex Comedies/
The Princess Academy [1987];Comedy/Sex Comedies/
The Resort Girls [1971];Comedy/Sex Comedies/
The Rosebud Beach Hotel [1984];Comedy/Sex Comedies/
The Russian Dolls [2005];Comedy/Sex Comedies/
The Sensuous Three [1972];Comedy/Sex Comedies/
The Sessions [2012];Comedy/Sex Comedies/
The Sure Thing [1985];Comedy/Sex Comedies/
The Sweet Pussycats [1969];Comedy/Sex Comedies/
The Sweet Sins of Sexy Susan [1967];Comedy/Sex Comedies/
The Teasers Go to Paris [1977];Comedy/Sex Comedies/
The Under Achievers [1987];Comedy/Sex Comedies/
The Underachievers [1987];Comedy/Sex Comedies/
The Vals [1982];Comedy/Sex Comedies/
The Virgin Queen of St. Francis High [1987];Comedy/Sex Comedies/
The Voyage of Captain Fracassa [1990];Comedy/Sex Comedies/
The Wedding Ringer [2015];Comedy/Sex Comedies/
The Weekend [2007];Comedy/Sex Comedies/
The Wild Life [1984];Comedy/Sex Comedies/
The Woman in Red [1984];Comedy/Sex Comedies/
The Young Playmates [1972];Comedy/Sex Comedies/
There's a Girl in My Soup [1970];Comedy/Sex Comedies/
They're Playing with Fire [1984];Comedy/Sex Comedies/
This, That and the Other! [1970];Comedy/Sex Comedies/
Tire pas sur mon collant [1978];Comedy/Sex Comedies/
Tôkyô Daigaku monogatari [2006];Comedy/Sex Comedies/
Tomboy [1985];Comedy/Sex Comedies/
Toshiue no hito [2014];Comedy/Sex Comedies/
Trojan War [1997];Comedy/Sex Comedies/
Two Undercover Angels [1969];Comedy/Sex Comedies/
Two Women in Gold [1970];Comedy/Sex Comedies/
Unterm Dirndl wird gejodelt [1974];Comedy/Sex Comedies/
Up the Academy [1980];Comedy/Sex Comedies/
Up the Creek [1984];Comedy/Sex Comedies/
Up Your Anchor [1985];Comedy/Sex Comedies/
Urlaubsreport - Worüber Reiseleiter nicht sprechen dürfen [1971];Comedy/Sex Comedies/
Va voir maman, papa travaille [1978];Comedy/Sex Comedies/
Vacation Temptations [1972];Comedy/Sex Comedies/
Valet Girls [1987];Comedy/Sex Comedies/
Valley Girl [1983];Comedy/Sex Comedies/
Video Girl Ai [1991];Comedy/Sex Comedies/
Vive les femmes! [1984];Comedy/Sex Comedies/
Waitress! [1981];Comedy/Sex Comedies/
Was Schulmädchen verschweigen [1973];Comedy/Sex Comedies/
Wedding Crashers [2005];Comedy/Sex Comedies/
Weekend Pass [1984];Comedy/Sex Comedies/
What Happens in Vegas [2008];Comedy/Sex Comedies/
What? [1972];Comedy/Sex Comedies/
What's Going on with My Sister? [2014];Comedy/Sex Comedies/
Whatever It Takes [2000];Comedy/Sex Comedies/
Where the Boys Are [1984];Comedy/Sex Comedies/
Who's Your Daddy? [2004];Comedy/Sex Comedies/
Wide Open [1974];Comedy/Sex Comedies/
Yarukkya Knight [2015];Comedy/Sex Comedies/
Yotzim Kavua [1979];Comedy/Sex Comedies/
You Can't Hurry Love [1988];Comedy/Sex Comedies/
Young Doctors in Love [1982];Comedy/Sex Comedies/
Young Love [1987];Comedy/Sex Comedies/
Young People Fucking [2007];Comedy/Sex Comedies/
Zack and Miri Make a Porno [2008];Comedy/Sex Comedies/
Zapped Again! [1990];Comedy/Sex Comedies/
Zapped! [1982];Comedy/Sex Comedies/
Alien [1979];Horror/Body Horror/
Alien 3 [1992];Horror/Body Horror/
Alien: Resurrection [1997];Horror/Body Horror/
Alien³ [1992];Horror/Body Horror/
Aliens [1986];Horror/Body Horror/
Altered States [1980];Horror/Body Horror/
Bad Biology [2008];Horror/Body Horror/
Bakjwi [2009];Horror/Body Horror/
Basket Case 2 [1990];Horror/Body Horror/
Basket Case 3: The Progeny [1992];Horror/Body Horror/
Body Bags [1993];Horror/Body Horror/
Body Melt [1993];Horror/Body Horror/
Body Snatchers [1993];Horror/Body Horror/
Brain Damage [1988];Horror/Body Horror/
Cabin Fever [2002];Horror/Body Horror/
Creepshow [1982];Horror/Body Horror/
Cronos [1993];Horror/Body Horror/
Curse of the Fly [1965];Horror/Body Horror/
Dans Ma Peau [2002];Horror/Body Horror/
District 9 [2009];Horror/Body Horror/
Eat My Shit [2015];Horror/Body Horror/
Eraserhead [1977];Horror/Body Horror/
eXistenZ [1999];Horror/Body Horror/
From Beyond [1986];Horror/Body Horror/
Grace [2009];Horror/Body Horror/
Guinea Pig 5: Android of Notre Dame [1989];Horror/Body Horror/
Guinea Pig 7: Making of 'Guinea Pig' [1986];Horror/Body Horror/
Guinea Pig 8: Making of 'Devil Woman Doctor' [1986];Horror/Body Horror/
Hungry Hearts [2014];Horror/Body Horror/
In My Skin [2002];Horror/Body Horror/
Invasion of the Body Snatchers [1956];Horror/Body Horror/
Invasion of the Body Snatchers [1978];Horror/Body Horror/
It Follows [2014];Horror/Body Horror/
It Lives Again [1978];Horror/Body Horror/
It's Alive [1974];Horror/Body Horror/
It's Alive [2008];Horror/Body Horror/
It's Alive 2 [1978];Horror/Body Horror/
It's Alive III: Island of the Alive [1987];Horror/Body Horror/
Jacob's Ladder [1990];Horror/Body Horror/
Matango: Attack of the Mushroom People [1963];Horror/Body Horror/
Mêkingu obu 'Ginî piggu 4' [1986];Horror/Body Horror/
Mêkingu obu 'Ginî piggu' [1986];Horror/Body Horror/
Naked Lunch [1991];Horror/Body Horror/
Pieles [2017];Horror/Body Horror/
Planet Terror [2007];Horror/Body Horror/
Rabid [1977];Horror/Body Horror/
Rabid [2019];Horror/Body Horror/
Re-Animator [1985];Horror/Body Horror/
Return of the Fly [1959];Horror/Body Horror/
Scanners [1981];Horror/Body Horror/
Scanners II: The New Order [1991];Horror/Body Horror/
Scanners III: The Takeover [1992];Horror/Body Horror/
Shivers [1975];Horror/Body Horror/
Skins [2017];Horror/Body Horror/
Taxidermia [2006];Horror/Body Horror/
Teeth [2007];Horror/Body Horror/
Tetsuo II: Body Hammer [1992];Horror/Body Horror/
Tetsuo: The Bullet Man [2009];Horror/Body Horror/
Tetsuo: The Iron Man [1989];Horror/Body Horror/
The Brood [1979];Horror/Body Horror/
The Fly [1958];Horror/Body Horror/
The guinea pig 2: Nôtoru Damu no andoroido [1989];Horror/Body Horror/
The Incredible Melting Man [1977];Horror/Body Horror/
The Thing [1982];Horror/Body Horror/
They Came From Within [1975];Horror/Body Horror/
Thirst [2009];Horror/Body Horror/
Tokyo Gore Police [2008];Horror/Body Horror/
Tôkyô zankoku keisatsu [2008];Horror/Body Horror/
Virus [1999];Horror/Body Horror/
2 Lava 2 Lantula! [2016];Horror/Bug Horror/
A Corpse Hangs in the Web [1960];Horror/Bug Horror/
Alien Apocalypse [2005];Horror/Bug Horror/
Ants [1977];Horror/Bug Horror/
Ants on a Plane [2007];Horror/Bug Horror/
Arachnia [2003];Horror/Bug Horror/
Arachnid [2001];Horror/Bug Horror/
Arachnophobia [1990];Horror/Bug Horror/
Arachnoquake [2012];Horror/Bug Horror/
Attack of the Crab Monsters [1957];Horror/Bug Horror/
Attack of the Giant Leeches [1959];Horror/Bug Horror/
Attack of the Giant Leeches [2008];Horror/Bug Horror/
AVP: Alien vs. Predator [2004];Horror/Bug Horror/
AVPR: Aliens vs Predator - Requiem [2007];Horror/Bug Horror/
Beast from Haunted Cave [1959];Horror/Bug Horror/
Beginning of the End [1957];Horror/Bug Horror/
Big Ass Spider [2013];Horror/Bug Horror/
Big Bad Bugs [2012];Horror/Bug Horror/
Bite Me! [2004];Horror/Bug Horror/
