Gulliver's Travels [2010];Adventure/
Batman Returns [1992];Based on/Comic Books/DC/
Batman v Superman: Dawn of Justice [2016];Based on/Comic Books/DC/
Batman: Arkham Knight [2015];Based on/Comic Books/DC/
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn [2020];Based on/Comic Books/DC/
Catwoman [2004];Based on/Comic Books/DC/
Constantine [2005];Based on/Comic Books/DC/
Green Lantern [2011];Based on/Comic Books/DC/
Joker [2019];Based on/Comic Books/DC/
Jonah Hex [2010];Based on/Comic Books/DC/
Justice League [2017];Based on/Comic Books/DC/
Man of Steel [2013];Based on/Comic Books/DC/
Shazam! [2019];Based on/Comic Books/DC/
Steel [1997];Based on/Comic Books/DC/
Suicide Squad [2016];Based on/Comic Books/DC/
Supergirl [1984];Based on/Comic Books/DC/
Superman [1948];Based on/Comic Books/DC/
Superman [1978];Based on/Comic Books/DC/
Superman and the Mole-Men [1951];Based on/Comic Books/DC/
Superman II [1980];Based on/Comic Books/DC/
Superman II: The Richard Donner Cut [2006];Based on/Comic Books/DC/
Superman III [1983];Based on/Comic Books/DC/
Superman IV: The Quest for Peace [1987];Based on/Comic Books/DC/
Superman Returns [2006];Based on/Comic Books/DC/
Swamp Thing [1982];Based on/Comic Books/DC/
The Dark Knight [2008];Based on/Comic Books/DC/
The Dark Knight Rises [2012];Based on/Comic Books/DC/
The Return of Swamp Thing [1989];Based on/Comic Books/DC/
Under the Hood [2009];Based on/Comic Books/DC/
V For Vendetta [2005];Based on/Comic Books/DC/
Watchmen [2009];Based on/Comic Books/DC/
Watchmen [2019];Based on/Comic Books/DC/
Wonder Woman [2017];Based on/Comic Books/DC/
Ant-Man [2015];Based on/Comic Books/Marvel/
Ant-Man and the Wasp [2018];Based on/Comic Books/Marvel/
Avengers: Age of Ultron [2015];Based on/Comic Books/Marvel/
Avengers: Endgame [2019];Based on/Comic Books/Marvel/
Avengers: Infinity War [2018];Based on/Comic Books/Marvel/
Black Panther [2018];Based on/Comic Books/Marvel/
Blade [1998];Based on/Comic Books/Marvel/
Blade II [2002];Based on/Comic Books/Marvel/
Blade: Trinity [2004];Based on/Comic Books/Marvel/
Captain America [1990];Based on/Comic Books/Marvel/
Captain America: Civil War [2016];Based on/Comic Books/Marvel/
Captain America: The First Avenger [2011];Based on/Comic Books/Marvel/
Captain America: The Winter Soldier [2014];Based on/Comic Books/Marvel/
Captain Marvel [2019];Based on/Comic Books/Marvel/
Conan the Barbarian [1982];Based on/Comic Books/Marvel/
Conan the Barbarian [2011];Based on/Comic Books/Marvel/
Conan the Destroyer [1984];Based on/Comic Books/Marvel/
Daredevil [2003];Based on/Comic Books/Marvel/
Dark Phoenix AKA X-Men: Dark Phoenix [2019];Based on/Comic Books/Marvel/
