Judge Dredd [1995];[Action]
Evil Grave [2004];[Zombie Movies]
Evilution [2008];[Zombie Movies]
Exit Humanity [2011];[Zombie Movies]
Feeding the Masses [2004];[Zombie Movies]
Fido [2006];[Zombie Movies]
FleshEater [1988];[Zombie Movies]
Flick [2008];[Zombie Movies]
Flight of the Living Dead: Outbreak on a Plane [2007];[Zombie Movies]
For Menneskeheten [2012];[Zombie Movies]
Gangsters, Guns & Zombies [2012];[Zombie Movies]
Garden of the Dead [1974];[Zombie Movies]
Gay Zombie [2007];[Zombie Movies]
Ghost Riders [1987];[Zombie Movies]
Gore Whore [1994];[Zombie Movies]
Gou hun jiang tou [1976];[Zombie Movies]
Graveyard Alive [2003];[Zombie Movies]
Hard Rock Zombies [1985];[Zombie Movies]
Hell of the Living Dead [1980];[Zombie Movies]
Helldriver [2010];[Zombie Movies]
High School Girl Rika: Zombie Hunter [2008];[Zombie Movies]
Hood of the Living Dead [2005];[Zombie Movies]
Horrid [2009];[Zombie Movies]
Horrors of War [2006];[Zombie Movies]
Hot Wax Zombies on Wheels [1999];[Zombie Movies]
House of the Dead [2003];[Zombie Movies]
Hunting Grounds [2008];[Zombie Movies]
I Am Legend [2007];[Zombie Movies]
I Am Omega [2007];[Zombie Movies]
I Eat Your Skin [1964];[Zombie Movies]
I Walked with a Zombie [1943];[Zombie Movies]
I Was a Zombie for the F.B.I. [1982];[Zombie Movies]
I, Zombie: The Chronicles of Pain [1998];[Zombie Movies]
Idle Hands [1999];[Zombie Movies]
Incubo Sulla Città Contaminata [1980];[Zombie Movies]
Island - Wedding of the Zombies [2010];[Zombie Movies]
Island of the Living Dead [2006];[Zombie Movies]
Jigoku kôshien [2003];[Zombie Movies]
Johnny Sunshine Maximum Violence [2008];[Zombie Movies]
Johnny Zombie [1993];[Zombie Movies]
Joshikyôei hanrangun [2007];[Zombie Movies]
Juan de los Muertos [2011];[Zombie Movies]
Juan of the Dead [2011];[Zombie Movies]
Junk [2000];[Zombie Movies]
Junk: Shiryô-gari [2000];[Zombie Movies]
Kadunlakaisijat [1991];[Zombie Movies]
Khun krabii hiiroh [2004];[Zombie Movies]
Kung Fu Zombie [1982];[Zombie Movies]
Kyonyû doragon: Onsen zonbi vs sutorippâ 5 [2010];[Zombie Movies]
L'isola dei morti viventi [2006];[Zombie Movies]
La cage aux zombies [1995];[Zombie Movies]
La horde [2009];[Zombie Movies]
La mansión de los muertos vivientes [1985];[Zombie Movies]
La morte vivante [1982];[Zombie Movies]
La noche de las gaviotas [1975];[Zombie Movies]
La Noche Del Terror Ciego [1971];[Zombie Movies]
La rebelión de las muertas [1973];[Zombie Movies]
La tumba de los muertos vivientes [1983];[Zombie Movies]
Land of the Dead [2005];[Zombie Movies]
Last of the Living [2008];[Zombie Movies]
Last Rites of the Dead [2006];[Zombie Movies]
Le lac des morts vivants [1981];[Zombie Movies]
Les revenants [2004];[Zombie Movies]
Let Sleeping Corpses Lie [1974];[Zombie Movies]
Mangue Negro [2008];[Zombie Movies]
Mansion of the Living Dead [1985];[Zombie Movies]
Mortuary [2005];[Zombie Movies]
Motocross Zombies from Hell [2007];[Zombie Movies]
Mud Zombies [2008];[Zombie Movies]
Mulva: Zombie Ass Kicker! [2001];[Zombie Movies]
Mutants [2009];[Zombie Movies]
My Boyfriend's Back [1993];[Zombie Movies]
My Dead Girlfriend [2006];[Zombie Movies]
Necroville [2007];[Zombie Movies]
Night of the Bums [2007];[Zombie Movies]
Night of the Comet [1984];[Zombie Movies]
Night of the Creeps [1986];[Zombie Movies]
Night of the Living Bread [1990];[Zombie Movies]
Night of the Living Dead [1968];[Zombie Movies]
Night of the Living Dead [1990];[Zombie Movies]
Night of the Living Dead 3D [2006];[Zombie Movies]
Night of the Living Dead: Reanimated [2009];[Zombie Movies]
Night of the Living Dead: Resurrection [2012];[Zombie Movies]
Night of the Living Dorks [2004];[Zombie Movies]
Night of the Living Jews [2007];[Zombie Movies]
Night of the Seagulls [1975];[Zombie Movies]
Nightmare City [1980];[Zombie Movies]
Nihon bundan: Heru doraibâ [2010];[Zombie Movies]
Ninjas vs. Zombies [2008];[Zombie Movies]
Non si deve profanare il sonno dei morti [1974];[Zombie Movies]
Oasis of the Zombies [1983];[Zombie Movies]
Office Outbreak [2006];[Zombie Movies]
Oh, No! Zombies!!! [2003];[Zombie Movies]
Onechanbara - Zombie Bikini Squad [2008];[Zombie Movies]
Oneechanbara: The Movie [2008];[Zombie Movies]
Otto, or, Up with Dead People [2008];[Zombie Movies]
Outpost [2008];[Zombie Movies]
Parade of the Dead [2010];[Zombie Movies]
Pathogen [2006];[Zombie Movies]
Paura nella Città dei Morti Viventi [1980];[Zombie Movies]
Phantasm [1979];[Zombie Movies]
Phantasm II [1988];[Zombie Movies]
Phantasm III: Lord of the Dead [1994];[Zombie Movies]
Phantasm IV: Oblivion [1998];[Zombie Movies]
Plan 9 from Outer Space [1959];[Zombie Movies]
Platoon of the Dead [2009];[Zombie Movies]
Pontypool [2008];[Zombie Movies]
