Gulliver's Travels [2010];[Adventure]
Torment [2008];[Horror]/[Clown Horror]/
Urban Massacre [2002];[Horror]/[Clown Horror]/
We All Scream for Ice Cream [2007];[Horror]/[Clown Horror]/
Within the Woods [2005];[Horror]/[Clown Horror]/
À l'intérieur [2007];[Horror]/[Hyper-Violent]/
Adam Chaplin [2011];[Horror]/[Hyper-Violent]/
Brutal Relax [2010];[Horror]/[Hyper-Violent]/
Descent [2007];[Horror]/[Hyper-Violent]/
Ebola Syndrome [1996];[Horror]/[Hyper-Violent]/
Fist of Jesus [2012];[Horror]/[Hyper-Violent]/
Fist of the North Star [1986];[Horror]/[Hyper-Violent]/
Frontière(s) [2007];[Horror]/[Hyper-Violent]/
Frontiers [2007];[Horror]/[Hyper-Violent]/
Hâdo ribenji, Mirî [2008];[Horror]/[Hyper-Violent]/
Hâdo ribenji, Mirî: Buraddi batoru [2009];[Horror]/[Hyper-Violent]/
Hard Revenge, Milly [2008];[Horror]/[Hyper-Violent]/
Hard Revenge, Milly: Bloody Battle [2009];[Horror]/[Hyper-Violent]/
Hokuto no ken [1986];[Horror]/[Hyper-Violent]/
Inside [2007];[Horror]/[Hyper-Violent]/
Kataude mashin gâru [2008];[Horror]/[Hyper-Violent]/
Kyûketsu Shôjo tai Shôjo Furanken [2009];[Horror]/[Hyper-Violent]/
Lik Wong [1991];[Horror]/[Hyper-Violent]/
Mutant Girls Squad [2010];[Horror]/[Hyper-Violent]/
Riki-Oh: The Story of Ricky [1991];[Horror]/[Hyper-Violent]/
Sentô shôjo: Chi no tekkamen densetsu [2010];[Horror]/[Hyper-Violent]/
Serbuan maut [2011];[Horror]/[Hyper-Violent]/
Superjail! [2007];[Horror]/[Hyper-Violent]/
The Machine Girl [2008];[Horror]/[Hyper-Violent]/
The Raid: Redemption [2011];[Horror]/[Hyper-Violent]/
The Texas Chainsaw Massacre [2003];[Horror]/[Hyper-Violent]/
Vampire Girl vs. Frankenstein Girl [2009];[Horror]/[Hyper-Violent]/
Versus [2000];[Horror]/[Hyper-Violent]/
Yi boh lai beng duk [1996];[Horror]/[Hyper-Violent]/
Tragic Ceremony [1972];[Horror]/[Religious Horror]/
Estratto dagli archivi segreti della polizia di una capitale europea [1972];[Horror]/[Religious Horror]/
[Rec] [2007];[Horror]/[Religious Horror]/
[Rec] 2 [2009];[Horror]/[Religious Horror]/
Abby [1974];[Horror]/[Religious Horror]/
Alice Sweet Alice [1976];[Horror]/[Religious Horror]/
All the Colors of the Dark [1972];[Horror]/[Religious Horror]/
Alone in the Dark [1982];[Horror]/[Religious Horror]/
Amor Só de Mãe [2003];[Horror]/[Religious Horror]/
Antichrist [2009];[Horror]/[Religious Horror]/
Black Sunday [1960];[Horror]/[Religious Horror]/
Cathedral of Demons [1989];[Horror]/[Religious Horror]/
Child of Satan [1976];[Horror]/[Religious Horror]/
City of the Living Dead [1980];[Horror]/[Religious Horror]/
Communion [1976];[Horror]/[Religious Horror]/
Curse of the Demon [1957];[Horror]/[Religious Horror]/
Devil [2010];[Horror]/[Religious Horror]/
Devils of Darkness [1965];[Horror]/[Religious Horror]/
Dominion: Prequel to the Exorcist [2005];[Horror]/[Religious Horror]/
Don't Deliver Us from Evil [1971];[Horror]/[Religious Horror]/
E tu vivrai nel terrore - L'aldilà [1981];[Horror]/[Religious Horror]/
El engendro del diablo [1989];[Horror]/[Religious Horror]/
End of Days [1999];[Horror]/[Religious Horror]/
Escalofrío [1978];[Horror]/[Religious Horror]/
Exorcist Chronicles [2013];[Horror]/[Religious Horror]/
Exorcist: The Beginning [2004];[Horror]/[Religious Horror]/
Eye of the Devil [1966];[Horror]/[Religious Horror]/
Fallen [1998];[Horror]/[Religious Horror]/
Filth [2008];[Horror]/[Religious Horror]/
Frailty [2001];[Horror]/[Religious Horror]/
God Told Me To [1976];[Horror]/[Religious Horror]/
Häxan [1922];[Horror]/[Religious Horror]/
Hellbound: Hellraiser II [1988];[Horror]/[Religious Horror]/
Holy Terror [1976];[Horror]/[Religious Horror]/
I frati rossi [1988];[Horror]/[Religious Horror]/
I Walked with a Zombie [1943];[Horror]/[Religious Horror]/
Il demonio [1963];[Horror]/[Religious Horror]/
Inauguration of the Pleasure Dome [1954];[Horror]/[Religious Horror]/
Incubus [1965];[Horror]/[Religious Horror]/
Invocation of My Demon Brother [1969];[Horror]/[Religious Horror]/
La chiesa [1989];[Horror]/[Religious Horror]/
La Herencia Valdemar [2010];[Horror]/[Religious Horror]/
La herencia Valdemar II: La sombra prohibida [2010];[Horror]/[Religious Horror]/
La maschera del demonio [1960];[Horror]/[Religious Horror]/
Leák [1981];[Horror]/[Religious Horror]/
Legion [2010];[Horror]/[Religious Horror]/
Les possédées du diable [1974];[Horror]/[Religious Horror]/
Lisa and the Devil [1974];[Horror]/[Religious Horror]/
Lisa e il diavolo [1974];[Horror]/[Religious Horror]/
Lord of Illusions [1995];[Horror]/[Religious Horror]/
Lorna, the Exorcist [1974];[Horror]/[Religious Horror]/
Love from Mother Only [2003];[Horror]/[Religious Horror]/
Lucifer Rising [1972];[Horror]/[Religious Horror]/
Mais ne nous délivrez pas du mal [1971];[Horror]/[Religious Horror]/
Mystics in Bali [1981];[Horror]/[Religious Horror]/
Night of the Demon [1957];[Horror]/[Religious Horror]/
Paura nella Città dei Morti Viventi [1980];[Horror]/[Religious Horror]/
Priest [2011];[Horror]/[Religious Horror]/
Prince of Darkness [1987];[Horror]/[Religious Horror]/
Quella villa accanto al cimitero [1981];[Horror]/[Religious Horror]/
Rosemary's Baby [1968];[Horror]/[Religious Horror]/
Satan's Blood [1978];[Horror]/[Religious Horror]/
Sauna [2008];[Horror]/[Religious Horror]/
Seven [1995];[Horror]/[Religious Horror]/
Seytan [1974];[Horror]/[Religious Horror]/
Sinister [2012];[Horror]/[Religious Horror]/
Stigmata [1999];[Horror]/[Religious Horror]/
Suspiria [1977];[Horror]/[Religious Horror]/
The Amityville Horror [1979];[Horror]/[Religious Horror]/
The Beyond [1981];[Horror]/[Religious Horror]/
The Brotherhood of Satan [1971];[Horror]/[Religious Horror]/
The Calling [2000];[Horror]/[Religious Horror]/
The Church [1989];[Horror]/[Religious Horror]/
The Demon [1963];[Horror]/[Religious Horror]/
The Devil Inside [2012];[Horror]/[Religious Horror]/
The Devil's Advocate [1997];[Horror]/[Religious Horror]/
The Devil's Rain [1975];[Horror]/[Religious Horror]/
The Devil's Rock [2011];[Horror]/[Religious Horror]/
The Devils [1971];[Horror]/[Religious Horror]/
The Dunwich Horror [1970];[Horror]/[Religious Horror]/
The Entity [1981];[Horror]/[Religious Horror]/
The Exorcism of Emily Rose [2005];[Horror]/[Religious Horror]/
The Exorcist [1973];[Horror]/[Religious Horror]/
The House by the Cemetery [1981];[Horror]/[Religious Horror]/
The House of the Devil [2009];[Horror]/[Religious Horror]/
The Last Exorcism [2010];[Horror]/[Religious Horror]/
The Last Exorcism Part II [2013];[Horror]/[Religious Horror]/
The Last Will and Testament of Rosalind Leigh [2012];[Horror]/[Religious Horror]/
The Lords of Salem [2012];[Horror]/[Religious Horror]/
The Ninth Gate [1999];[Horror]/[Religious Horror]/
The Omen [1976];[Horror]/[Religious Horror]/
The Omen [2006];[Horror]/[Religious Horror]/
The Omen Pentology [1976];[Horror]/[Religious Horror]/
The Order [2003];[Horror]/[Religious Horror]/
The Passion of the Christ [2004];[Horror]/[Religious Horror]/
The Possession [2012];[Horror]/[Religious Horror]/
The Prophecy [1995];[Horror]/[Religious Horror]/
The Prophecy 3: The Ascent [2000];[Horror]/[Religious Horror]/
The Prophecy II [1998];[Horror]/[Religious Horror]/
The Prophecy: Forsaken [2005];[Horror]/[Religious Horror]/
The Prophecy: Uprising [2005];[Horror]/[Religious Horror]/
The Reaping [2007];[Horror]/[Religious Horror]/
The Red Monks [1988];[Horror]/[Religious Horror]/
The Rite [2011];[Horror]/[Religious Horror]/
The Seventh Sign [1988];[Horror]/[Religious Horror]/
The Seventh Victim [1943];[Horror]/[Religious Horror]/
The Shrine [2010];[Horror]/[Religious Horror]/
The Spirit of Evil [1967];[Horror]/[Religious Horror]/
The Valdemar Legacy II: The Forbidden Shadow [2010];[Horror]/[Religious Horror]/
The Wicker Man [1973];[Horror]/[Religious Horror]/
To the Devil a Daughter [1976];[Horror]/[Religious Horror]/
Tutti i colori del buio [1972];[Horror]/[Religious Horror]/
Valdemar Inheritance [2010];[Horror]/[Religious Horror]/
Viy [1967];[Horror]/[Religious Horror]/
When the Lights Went Out [2011];[Horror]/[Religious Horror]/
Wishmaster 2: Evil Never Dies [1999];[Horror]/[Religious Horror]/
Wishmaster 3: Beyond the Gates of Hell [2001];[Horror]/[Religious Horror]/
Wishmaster 4: The Prophecy Fulfilled [2002];[Horror]/[Religious Horror]/
Witchcraft Through the Ages [1922];[Horror]/[Religious Horror]/
Zombie Christ [2010];[Horror]/[Religious Horror]/
Alice Cooper: Welcome to My Nightmare [1975];[Horror]/[Rock And Roll]/
Black Roses [1988];[Horror]/[Rock And Roll]/
Blood Tracks [1985];[Horror]/[Rock And Roll]/
Dead Girls [1990];[Horror]/[Rock And Roll]/
Dreamaniac [1986];[Horror]/[Rock And Roll]/
Gate II: Trespassers [1990];[Horror]/[Rock And Roll]/
Hard Rock Nightmare [1988];[Horror]/[Rock And Roll]/
Hard Rock Zombies [1985];[Horror]/[Rock And Roll]/
Heavy Metal Massacre [1989];[Horror]/[Rock And Roll]/
I Kissed a Vampire [2010];[Horror]/[Rock And Roll]/
Intercessor: Another Rock 'N' Roll Nightmare [2005];[Horror]/[Rock And Roll]/
KISS Meets the Phantom of the Park [1978];[Horror]/[Rock And Roll]/
Leviatán [1984];[Horror]/[Rock And Roll]/
Lone Wolf [1988];[Horror]/[Rock And Roll]/
Monster Dog [1984];[Horror]/[Rock And Roll]/
Neowolf [2010];[Horror]/[Rock And Roll]/
New Year's Evil [1980];[Horror]/[Rock And Roll]/
Night Train to Terror [1985];[Horror]/[Rock And Roll]/
Paganini Horror [1989];[Horror]/[Rock And Roll]/
Phantom of the Paradise [1974];[Horror]/[Rock And Roll]/
Queen of the Damned [2002];[Horror]/[Rock And Roll]/
Repo! The Genetic Opera [2008];[Horror]/[Rock And Roll]/
Rock 'n' Roll Nightmare [1987];[Horror]/[Rock And Roll]/
Rocktober Blood [1984];[Horror]/[Rock And Roll]/
Scream Dream [1989];[Horror]/[Rock And Roll]/
Shock 'Em Dead [1991];[Horror]/[Rock And Roll]/
Slaughterhouse Rock [1988];[Horror]/[Rock And Roll]/
Slumber Party Massacre II [1987];[Horror]/[Rock And Roll]/
Suck [2009];[Horror]/[Rock And Roll]/
Terror on Tour [1980];[Horror]/[Rock And Roll]/
The Gate [1987];[Horror]/[Rock And Roll]/
Trick or Treat [1986];[Horror]/[Rock And Roll]/
Vicious Lips [1988];[Horror]/[Rock And Roll]/
Wild Zero [2000];[Horror]/[Rock And Roll]/
247°F [2011];[Horror]/[Torture Porn]/
7 Days [2010];[Horror]/[Torture Porn]/
A Night to Dismember [1983];[Horror]/[Torture Porn]/
A Serbian Film [2010];[Horror]/[Torture Porn]/
Abduction [2009];[Horror]/[Torture Porn]/
Africa addio [1966];[Horror]/[Torture Porn]/
Africa Blood and Guts [1966];[Horror]/[Torture Porn]/
American Cannibale [1976];[Horror]/[Torture Porn]/
American Mary [2012];[Horror]/[Torture Porn]/
Anthropophagous 2000 [1999];[Horror]/[Torture Porn]/
Antropophagus [1980];[Horror]/[Torture Porn]/
Asylum [2008];[Horror]/[Torture Porn]/
August Underground [2001];[Horror]/[Torture Porn]/
August Underground's Mordum [2003];[Horror]/[Torture Porn]/
August Underground's Penance [2007];[Horror]/[Torture Porn]/
Autopsy [2008];[Horror]/[Torture Porn]/
Babysitter Wanted [2008];[Horror]/[Torture Porn]/
Backwoods [2008];[Horror]/[Torture Porn]/
Bane [2008];[Horror]/[Torture Porn]/
Barricade [2007];[Horror]/[Torture Porn]/
Bela Kiss: Prologue [2013];[Horror]/[Torture Porn]/
Benny's Video [1992];[Horror]/[Torture Porn]/
Beyond the Darkness [1979];[Horror]/[Torture Porn]/
Black Past [1989];[Horror]/[Torture Porn]/
Blackest Heart [1990];[Horror]/[Torture Porn]/
Blood Feast [1963];[Horror]/[Torture Porn]/
Bloody Moon [1981];[Horror]/[Torture Porn]/
Bloody Murder 2: Closing Camp [2003];[Horror]/[Torture Porn]/
Bloody Reunion [2006];[Horror]/[Torture Porn]/
Boot Camp [2007];[Horror]/[Torture Porn]/
Breaking Her Will [2009];[Horror]/[Torture Porn]/
Broken [2006];[Horror]/[Torture Porn]/
Brutal [2012];[Horror]/[Torture Porn]/
Buio Omega [1979];[Horror]/[Torture Porn]/
Buried Alive [1979];[Horror]/[Torture Porn]/
Cannibal Diner [2012];[Horror]/[Torture Porn]/
Cannibal Ferox [1981];[Horror]/[Torture Porn]/
Cannibal Holocaust [1980];[Horror]/[Torture Porn]/
Cannon Fodder [2013];[Horror]/[Torture Porn]/
Captivity [2007];[Horror]/[Torture Porn]/
Carver [2008];[Horror]/[Torture Porn]/
Cell Count [2012];[Horror]/[Torture Porn]/
Chained [2012];[Horror]/[Torture Porn]/
Chaos [2005];[Horror]/[Torture Porn]/
Cinderella [2006];[Horror]/[Torture Porn]/
Cradle of Fear [2001];[Horror]/[Torture Porn]/
Crawlspace [1986];[Horror]/[Torture Porn]/
Das deutsche Kettensägen Massaker [1990];[Horror]/[Torture Porn]/
Death Stop Holocaust [2009];[Horror]/[Torture Porn]/
Die Säge des Todes [1981];[Horror]/[Torture Porn]/
Don't Go in the House [1980];[Horror]/[Torture Porn]/
Doomsday [2008];[Horror]/[Torture Porn]/
Dr. Butcher M.D. [1980];[Horror]/[Torture Porn]/
Dying Breed [2008];[Horror]/[Torture Porn]/
Easter Bunny, Kill! Kill! [2006];[Horror]/[Torture Porn]/
Eat Your Heart Out [2008];[Horror]/[Torture Porn]/
Eaten Alive [1977];[Horror]/[Torture Porn]/
Eaten Alive! [1980];[Horror]/[Torture Porn]/
Experiment in Torture [2007];[Horror]/[Torture Porn]/
Faces of Death [1978];[Horror]/[Torture Porn]/
Faces of Death II [1981];[Horror]/[Torture Porn]/
Faces of Death III [1985];[Horror]/[Torture Porn]/
Farewell Africa [1966];[Horror]/[Torture Porn]/
Feed [2005];[Horror]/[Torture Porn]/
Filth to Ashes, Flesh to Dust [2011];[Horror]/[Torture Porn]/
Forgive Me for Raping You [2010];[Horror]/[Torture Porn]/
Frontière(s) [2007];[Horror]/[Torture Porn]/
Frontiers [2007];[Horror]/[Torture Porn]/
Funny Games [1997];[Horror]/[Torture Porn]/
Funny Games [2007];[Horror]/[Torture Porn]/
Gag [2006];[Horror]/[Torture Porn]/
Game Over [2009];[Horror]/[Torture Porn]/
Ginî piggu 2: Chiniku no hana [1985];[Horror]/[Torture Porn]/
Ginî piggu 3: Senritsu! Shinanai otoko [1986];[Horror]/[Torture Porn]/
Ginî piggu 4: Pîtâ no akuma no joi-san [1986];[Horror]/[Torture Porn]/
Ginî piggu: Akuma no jikken [1985];[Horror]/[Torture Porn]/
Ginî piggu: Manhôru no naka no ningyo [1988];[Horror]/[Torture Porn]/
Goregasm [2007];[Horror]/[Torture Porn]/
Grotesque [2009];[Horror]/[Torture Porn]/
Guinea Pig 2 [1985];[Horror]/[Torture Porn]/
Guinea Pig 3: He Never Dies [1986];[Horror]/[Torture Porn]/
Guinea Pig 4: Devil Woman Doctor [1986];[Horror]/[Torture Porn]/
Guinea Pig 6: Mermaid in a Manhole [1988];[Horror]/[Torture Porn]/
Guinea Pig: Devil's Experiment [1985];[Horror]/[Torture Porn]/
Gurotesuku [2009];[Horror]/[Torture Porn]/
Haute tension [2003];[Horror]/[Torture Porn]/
Head Case [2007];[Horror]/[Torture Porn]/
Hei tai yang 731 [1988];[Horror]/[Torture Porn]/
Hei tai yang 731 xu ji zhi sha ren gong [1992];[Horror]/[Torture Porn]/
Hexen bis aufs Blut gequält [1970];[Horror]/[Torture Porn]/
High Tension [2003];[Horror]/[Torture Porn]/
Hostel [2005];[Horror]/[Torture Porn]/
Hostel: Part II [2007];[Horror]/[Torture Porn]/
Hostel: Part III [2011];[Horror]/[Torture Porn]/
House of Wax [2005];[Horror]/[Torture Porn]/
House on Haunted Hill [1999];[Horror]/[Torture Porn]/
Hunger [2009];[Horror]/[Torture Porn]/
I Spit on Your Corpse, I Piss on Your Grave [2001];[Horror]/[Torture Porn]/
I Spit on Your Grave [1978];[Horror]/[Torture Porn]/
I Spit on Your Grave [2010];[Horror]/[Torture Porn]/
I Spit on Your Grave 2 [2013];[Horror]/[Torture Porn]/
Iki-jigoku [2000];[Horror]/[Torture Porn]/
Il bosco fuori [2006];[Horror]/[Torture Porn]/
Ilsa, She Wolf of the SS [1975];[Horror]/[Torture Porn]/
Inn of the Damned [1975];[Horror]/[Torture Porn]/
Intruder [2008];[Horror]/[Torture Porn]/
Invasion of the Blood Farmers [1972];[Horror]/[Torture Porn]/
Island of Death [1977];[Horror]/[Torture Porn]/
Jill Rips [2000];[Horror]/[Torture Porn]/
Jill the Ripper [2000];[Horror]/[Torture Porn]/
Julia X 3D [2011];[Horror]/[Torture Porn]/
Jungle Holocaust [1977];[Horror]/[Torture Porn]/
Junkyard Dog [2010];[Horror]/[Torture Porn]/
Justin Bieber: Never Say Never [2011];[Horror]/[Torture Porn]/
King of the Ants [2003];[Horror]/[Torture Porn]/
La horripilante bestia humana [1969];[Horror]/[Torture Porn]/
La Terza Madre [2007];[Horror]/[Torture Porn]/
Lager SSadis Kastrat Kommandantur [1976];[Horror]/[Torture Porn]/
Last Breath [2010];[Horror]/[Torture Porn]/
Leather and Iron [2002];[Horror]/[Torture Porn]/
Leatherface: Texas Chainsaw Massacre III [1990];[Horror]/[Torture Porn]/
Les 7 jours du talion [2010];[Horror]/[Torture Porn]/
Live Animals [2008];[Horror]/[Torture Porn]/
Living Hell [2000];[Horror]/[Torture Porn]/
Mad Mutilator [1983];[Horror]/[Torture Porn]/
Mangiati vivi! [1980];[Horror]/[Torture Porn]/
Maniac [1980];[Horror]/[Torture Porn]/
Mark of the Devil [1970];[Horror]/[Torture Porn]/
Martyrs [2008];[Horror]/[Torture Porn]/
Maskhead [2009];[Horror]/[Torture Porn]/
Megan Is Missing [2011];[Horror]/[Torture Porn]/
Men Behind the Sun [1988];[Horror]/[Torture Porn]/
Men Behind The Sun 2 [1992];[Horror]/[Torture Porn]/
Mil Gritos Tiene La Noche [1982];[Horror]/[Torture Porn]/
Misery [1990];[Horror]/[Torture Porn]/
Mother Of Tears [2007];[Horror]/[Torture Porn]/
Mother's Day [2010];[Horror]/[Torture Porn]/
Murder-Set-Pieces [2004];[Horror]/[Torture Porn]/
My Bloody Valentine [1981];[Horror]/[Torture Porn]/
Naked Beneath the Water [2006];[Horror]/[Torture Porn]/
Necromentia [2009];[Horror]/[Torture Porn]/
Necronos [2010];[Horror]/[Torture Porn]/
Night Of The Bloody Apes [1969];[Horror]/[Torture Porn]/
Ogroff The Mad Mutilator [1983];[Horror]/[Torture Porn]/
Paradise Lost [2006];[Horror]/[Torture Porn]/
Penance [2007];[Horror]/[Torture Porn]/
Penance [2009];[Horror]/[Torture Porn]/
Philosophy of a Knife [2008];[Horror]/[Torture Porn]/
Pieces [1982];[Horror]/[Torture Porn]/
Poe [2012];[Horror]/[Torture Porn]/
Poor White Trash Part II [1974];[Horror]/[Torture Porn]/
Premutos - Der gefallene Engel [1997];[Horror]/[Torture Porn]/
Premutos: The Fallen Angel [1997];[Horror]/[Torture Porn]/
Psycho Holocaust [2009];[Horror]/[Torture Porn]/
Red White & Blue [2010];[Horror]/[Torture Porn]/
ReGOREgitated Sacrifice [2008];[Horror]/[Torture Porn]/
Return to House on Haunted Hill [2007];[Horror]/[Torture Porn]/
Saw [2003];[Horror]/[Torture Porn]/
Saw [2004];[Horror]/[Torture Porn]/
Saw 3D: The Final Chapter [2010];[Horror]/[Torture Porn]/
Saw II [2005];[Horror]/[Torture Porn]/
Saw III [2006];[Horror]/[Torture Porn]/
Saw IV [2007];[Horror]/[Torture Porn]/
Saw V [2008];[Horror]/[Torture Porn]/
Saw VI [2009];[Horror]/[Torture Porn]/
Scrapbook [2000];[Horror]/[Torture Porn]/
Screaming Metal [2002];[Horror]/[Torture Porn]/
Sculpture [2009];[Horror]/[Torture Porn]/
Scum of the Earth [1974];[Horror]/[Torture Porn]/
Seuseung-ui eunhye [2006];[Horror]/[Torture Porn]/
Shocking Asia [1976];[Horror]/[Torture Porn]/
Shocking Asia II: The Last Taboos [1985];[Horror]/[Torture Porn]/
Skeleton Crew [2009];[Horror]/[Torture Porn]/
Skinned Alive [2008];[Horror]/[Torture Porn]/
Slaughtered [2008];[Horror]/[Torture Porn]/
Slaughtered Vomit Dolls [2006];[Horror]/[Torture Porn]/
Slave [2009];[Horror]/[Torture Porn]/
Slow Torture Puke Chamber [2010];[Horror]/[Torture Porn]/
Smash Cut [2009];[Horror]/[Torture Porn]/
Snuff [1976];[Horror]/[Torture Porn]/
Snuff 102 [2007];[Horror]/[Torture Porn]/
Snuff killer - La morte in diretta [2003];[Horror]/[Torture Porn]/
Snuff Trap [2003];[Horror]/[Torture Porn]/
Snuff: A Documentary About Killing on Camera [2008];[Horror]/[Torture Porn]/
Somebody Help Me [2007];[Horror]/[Torture Porn]/
Somebody Help Me 2 [2010];[Horror]/[Torture Porn]/
Srpski film [2010];[Horror]/[Torture Porn]/
SS Experiment Love Camp [1976];[Horror]/[Torture Porn]/
Sublime [2007];[Horror]/[Torture Porn]/
Ta paidia tou Diavolou [1977];[Horror]/[Torture Porn]/
The Blood Shed [2007];[Horror]/[Torture Porn]/
The Bunny Game [2010];[Horror]/[Torture Porn]/
The Burning Moon [1992];[Horror]/[Torture Porn]/
The Bushwhacker [1968];[Horror]/[Torture Porn]/
The Cohasset Snuff Film [2012];[Horror]/[Torture Porn]/
The Collection [2012];[Horror]/[Torture Porn]/
The Collector [2009];[Horror]/[Torture Porn]/
The Death Factory Bloodletting [2008];[Horror]/[Torture Porn]/
The Dentist [1996];[Horror]/[Torture Porn]/
The Dentist 2 [1998];[Horror]/[Torture Porn]/
The German Chainsaw Massacre [1990];[Horror]/[Torture Porn]/
The Girl Next Door [2007];[Horror]/[Torture Porn]/
The Great American Snuff Film [2003];[Horror]/[Torture Porn]/
The Gruesome Death of Tommy Pistol [2010];[Horror]/[Torture Porn]/
The Helpers [2012];[Horror]/[Torture Porn]/
The Hills Have Eyes II [2007];[Horror]/[Torture Porn]/
The Hills Run Red [2009];[Horror]/[Torture Porn]/
The Horseman [2008];[Horror]/[Torture Porn]/
The Human Centipede (First Sequence) [2009];[Horror]/[Torture Porn]/
The Human Centipede II (Full Sequence) [2011];[Horror]/[Torture Porn]/
The Human Centipede III (Final Sequence) [2014];[Horror]/[Torture Porn]/
The Killing Gene [2007];[Horror]/[Torture Porn]/
The Last House in the Woods [2006];[Horror]/[Torture Porn]/
The Last House on Dead End Street [1977];[Horror]/[Torture Porn]/
The Last House on the Left [1972];[Horror]/[Torture Porn]/
The Last House on the Left [2009];[Horror]/[Torture Porn]/
The Last Motel [1981];[Horror]/[Torture Porn]/
The Loved Ones [2009];[Horror]/[Torture Porn]/
The Manson Family [2003];[Horror]/[Torture Porn]/
The Midnight Meat Train [2008];[Horror]/[Torture Porn]/
The Mutilator [1985];[Horror]/[Torture Porn]/
The People Under the Stairs [1991];[Horror]/[Torture Porn]/
The Perfect House [2013];[Horror]/[Torture Porn]/
The Red Cell [2008];[Horror]/[Torture Porn]/
The Ruins [2008];[Horror]/[Torture Porn]/
The Silence of the Lambs [1991];[Horror]/[Torture Porn]/
The Tattooist [2007];[Horror]/[Torture Porn]/
The Texas Chain Saw Massacre [1974];[Horror]/[Torture Porn]/
The Texas Chainsaw Massacre: The Beginning [2006];[Horror]/[Torture Porn]/
The Tortured [2010];[Horror]/[Torture Porn]/
The Virgin Murders [2009];[Horror]/[Torture Porn]/
The Wizard of Gore [1970];[Horror]/[Torture Porn]/
The Woman [2011];[Horror]/[Torture Porn]/
They All Must Die! [1998];[Horror]/[Torture Porn]/
To Sir with Love [2006];[Horror]/[Torture Porn]/
Tomboys [2009];[Horror]/[Torture Porn]/
Torture Chamber [2013];[Horror]/[Torture Porn]/
Tortured [2008];[Horror]/[Torture Porn]/
Turistas [2006];[Horror]/[Torture Porn]/
Turkey Shoot [1982];[Horror]/[Torture Porn]/
Two Thousand Maniacs! [1964];[Horror]/[Torture Porn]/
Ultimo mondo cannibale [1977];[Horror]/[Torture Porn]/
Vacancy [2007];[Horror]/[Torture Porn]/
Vacancy 2: The First Cut [2009];[Horror]/[Torture Porn]/
Video Violence [1987];[Horror]/[Torture Porn]/
Videodrome [1983];[Horror]/[Torture Porn]/
W Delta Z [2007];[Horror]/[Torture Porn]/
While She Was Out [2008];[Horror]/[Torture Porn]/
Wolf Creek [2005];[Horror]/[Torture Porn]/
Would You Rather [2012];[Horror]/[Torture Porn]/
Zombi Holocaust [1980];[Horror]/[Torture Porn]/
Zombie Holocaust [1980];[Horror]/[Torture Porn]/
Blood & Roses [1960];[Horror]/[Vampires]/[Lesbian]/
Contes immoraux [1974];[Horror]/[Vampires]/[Lesbian]/
Countess Dracula [1971];[Horror]/[Vampires]/[Lesbian]/
Daughter of Dracula [1972];[Horror]/[Vampires]/[Lesbian]/
Dracula's Daughter [1936];[Horror]/[Vampires]/[Lesbian]/
Dracula's Daughter [1972];[Horror]/[Vampires]/[Lesbian]/
Et mourir de plaisir [1960];[Horror]/[Vampires]/[Lesbian]/
Eternal [2004];[Horror]/[Vampires]/[Lesbian]/
Fascination [1979];[Horror]/[Vampires]/[Lesbian]/
Immoral Tales [1974];[Horror]/[Vampires]/[Lesbian]/
Jesus Christ Vampire Hunter [2001];[Horror]/[Vampires]/[Lesbian]/
La fille de Dracula [1972];[Horror]/[Vampires]/[Lesbian]/
La novia ensangrentada [1972];[Horror]/[Vampires]/[Lesbian]/
Le frisson des vampires [1971];[Horror]/[Vampires]/[Lesbian]/
Le viol du vampire [1968];[Horror]/[Vampires]/[Lesbian]/
Lesbian Vampire Killers [2009];[Horror]/[Vampires]/[Lesbian]/
Lesbian Vampires: The Heiress of Dracula [1971];[Horror]/[Vampires]/[Lesbian]/
Lèvres de sang [1975];[Horror]/[Vampires]/[Lesbian]/
Lips of Blood [1975];[Horror]/[Vampires]/[Lesbian]/
Lust for a Vampire [1971];[Horror]/[Vampires]/[Lesbian]/
Mil Mascaras vs. the Aztec Mummy [2007];[Horror]/[Vampires]/[Lesbian]/
My Vampire Lover [2002];[Horror]/[Vampires]/[Lesbian]/
Razor Blade Smile [1998];[Horror]/[Vampires]/[Lesbian]/
Strange Things Happen at Night [1971];[Horror]/[Vampires]/[Lesbian]/
The Blood Spattered Bride [1972];[Horror]/[Vampires]/[Lesbian]/
The Erotic Rites of Countess Dracula [2001];[Horror]/[Vampires]/[Lesbian]/
The Hunger [1983];[Horror]/[Vampires]/[Lesbian]/
The Rape of the Vampire [1968];[Horror]/[Vampires]/[Lesbian]/
The Shiver of the Vampires [1971];[Horror]/[Vampires]/[Lesbian]/
The Vampire Lovers [1970];[Horror]/[Vampires]/[Lesbian]/
Twins of Evil [1971];[Horror]/[Vampires]/[Lesbian]/
Vampyres: Daughters of Darkness [1974];[Horror]/[Vampires]/[Lesbian]/
Vampyros Lesbos [1971];[Horror]/[Vampires]/[Lesbian]/
¡Átame! [1990];[Misc]/[Adult]/[BDSM]/
24/7: The Passion of Life [2005];[Misc]/[Adult]/[BDSM]/
8MM [1999];[Misc]/[Adult]/[BDSM]/
A Woman in Flames [1983];[Misc]/[Adult]/[BDSM]/
A Year Without Love [2005];[Misc]/[Adult]/[BDSM]/
