Gulliver's Travels [2010];[Adventure]
Spider-Man: The Dragon's Challenge [1981];[Based on]/[Comic Books]/[Marvel]/
Spider-Man: The Ultimate Villain Showdown [2002];[Based on]/[Comic Books]/[Marvel]/
The Amazing Spider-Man [2012];[Based on]/[Comic Books]/[Marvel]/
The Avengers [2012];[Based on]/[Comic Books]/[Marvel]/
The Avengers: Age of Ultron [2015];[Based on]/[Comic Books]/[Marvel]/
The Fantastic Four [1994];[Based on]/[Comic Books]/[Marvel]/
The Incredible Hulk [2008];[Based on]/[Comic Books]/[Marvel]/
The Invincible Iron Man [2007];[Based on]/[Comic Books]/[Marvel]/
The Punisher [1989];[Based on]/[Comic Books]/[Marvel]/
The Punisher [2004];[Based on]/[Comic Books]/[Marvel]/
The Punisher: Dirty Laundry [2012];[Based on]/[Comic Books]/[Marvel]/
The Trial of the Incredible Hulk [1989];[Based on]/[Comic Books]/[Marvel]/
The Wolverine [2013];[Based on]/[Comic Books]/[Marvel]/
The X Files [1998];[Drama]/
Thor [2011];[Based on]/[Comic Books]/[Marvel]/
Thor & Loki: Blood Brothers [2011];[Based on]/[Comic Books]/[Marvel]/
Thor: Tales of Asgard [2011];[Based on]/[Comic Books]/[Marvel]/
Thor: The Dark World [2013];[Based on]/[Comic Books]/[Marvel]/
Ultimate Avengers [2006];[Based on]/[Comic Books]/[Marvel]/
Ultimate Avengers II [2006];[Based on]/[Comic Books]/[Marvel]/
X-Men [2000];[Based on]/[Comic Books]/[Marvel]/
X-Men Origins: Wolverine [2009];[Based on]/[Comic Books]/[Marvel]/
X-Men: Days of Future Past [2014];[Based on]/[Comic Books]/[Marvel]/
X-Men: First Class [2011];[Based on]/[Comic Books]/[Marvel]/
X-Men: The Last Stand [2006];[Based on]/[Comic Books]/[Marvel]/
X2: X-Men United [2003];[Based on]/[Comic Books]/[Marvel]/
Marvel One-Shot: Agent Carter [2013];[Based on]/[Comic Books]/[Marvel]/[One-Shot]/
Marvel One-Shot: All Hail the King [2014];[Based on]/[Comic Books]/[Marvel]/[One-Shot]/
Marvel One-Shot: Item 47 [2012];[Based on]/[Comic Books]/[Marvel]/[One-Shot]/
Marvel One-Shot: The Consultant [2011];[Based on]/[Comic Books]/[Marvel]/[One-Shot]/
Astonishing X-Men: Gifted [2010];[Based on]/[Comic Books]/[Motion Comics]/
Black Panther [2009];[Based on]/[Comic Books]/[Motion Comics]/
Inception: Motion Comics [2010];[Based on]/[Comic Books]/[Motion Comics]/
Iron Man: Extremis [2010];[Based on]/[Comic Books]/[Motion Comics]/
Watchmen Motion Comic [2009];[Based on]/[Comic Books]/[Motion Comics]/
Wolverine - Origin Motion Comic [2010];[Based on]/[Comic Books]/[Motion Comics]/
Beerfest [2006];[Comedy]/[Broken Lizard]/
Club Dread [2004];[Comedy]/[Broken Lizard]/
Puddle Cruiser [1996];[Comedy]/[Broken Lizard]/
Super Troopers [2001];[Comedy]/[Broken Lizard]/
The Slammin' Salmon [2009];[Comedy]/[Broken Lizard]/
A Cadaver Christmas [2011];[Comedy]/[Comedy Horror]/
Abbott & Costello: Hold That Ghost [1941];[Comedy]/[Comedy Horror]/
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde [1953];[Comedy]/[Comedy Horror]/
Abbott and Costello Meet the Killer, Boris Karloff [1949];[Comedy]/[Comedy Horror]/
Abbott and Costello Meet the Mummy [1955];[Comedy]/[Comedy Horror]/
An American Werewolf in London [1981];[Comedy]/[Comedy Horror]/
An American Werewolf in Paris [1997];[Comedy]/[Comedy Horror]/
Army of Darkness [1992];[Comedy]/[Comedy Horror]/
Attack of the Killer Tomatoes! [1978];[Comedy]/[Comedy Horror]/
Bad Taste [1987];[Comedy]/[Comedy Horror]/
Baghead [2008];[Comedy]/[Comedy Horror]/
Basket Case [1982];[Comedy]/[Comedy Horror]/
Battlefield Baseball [2003];[Comedy]/[Comedy Horror]/
Beetlejuice [1988];[Comedy]/[Comedy Horror]/
Behind the Mask: The Rise of Leslie Vernon [2006];[Comedy]/[Comedy Horror]/
Beyond Re-Animator [2003];[Comedy]/[Comedy Horror]/
Bhool Bhulaiyaa [2007];[Comedy]/[Comedy Horror]/
Bio-Zombie [1998];[Comedy]/[Comedy Horror]/
Black Sheep [2006];[Comedy]/[Comedy Horror]/
Blood Car [2007];[Comedy]/[Comedy Horror]/
Blood Feast 2: All U Can Eat [2002];[Comedy]/[Comedy Horror]/
Bloodbath at the House of Death [1984];[Comedy]/[Comedy Horror]/
Body Jumper [2001];[Comedy]/[Comedy Horror]/
Botched [2007];[Comedy]/[Comedy Horror]/
Boy Eats Girl [2005];[Comedy]/[Comedy Horror]/
Braindead [1992];[Comedy]/[Comedy Horror]/
Bride of Chucky [1998];[Comedy]/[Comedy Horror]/
